original_slide,title,exact_original_prompt,rehearsal_status,notes
6,How to follow the demonstration,"Open Walkthrough Assets as the project root. Read its README, the brief and the start guide. Explain each folder and how to start the app. Do not change files yet.",reference / prerequisite reviewed,"Reference separated from input-only rebuild. Fresh helper, first-loop clean installation/build and independent browser demonstration verified."
10,From meeting evidence to a reviewed task,"Describe the smallest version of this client workflow: open Northstar, read the latest meeting, review a suggested follow-up, and save it once. List the screens and information it needs. Do not add extra features.",reference / prerequisite reviewed,"Reference separated from input-only rebuild. Fresh helper, first-loop clean installation/build and independent browser demonstration verified."
14,The first planning prompt,"Help me turn this recurring job into a short build brief: after a client call, I lose track of the agreed next action. Ask who uses the tool, what information they need, and what outcome would make it useful. Ask one question at a time.",exact original run,Original planning prompt run in Claude Desktop.
17,The answer that becomes the brief,"Use these decisions: Alex is a solo consultant. The first job is preparing a reviewed follow-up after Northstar’s call. Show the meeting evidence beside the proposed task. Exclude billing, campaigns, and automatic outreach. Draft 01-planning/BRIEF.md for my review.",original run; revised exact fresh-session retest passed,Original wording produced email-oriented scope. Explicit saved-task/full-scope revision passed a separate input-only fresh session.
24,One request through ClientDesk,Find Northstar’s latest meeting. Cite the source ID and tell me what is still undecided.,reference / prerequisite reviewed,"Reference separated from input-only rebuild. Fresh helper, first-loop clean installation/build and independent browser demonstration verified."
27,A workspace check before building,"Read 00-course-map/START-HERE.md. Check Node, install the locked dependencies in 03-build/clientdesk, prepare the demo context, and run the documented checks. Start the app on port 4310. Explain any blocker before continuing.",reference / prerequisite reviewed,"Reference separated from input-only rebuild. Fresh helper, first-loop clean installation/build and independent browser demonstration verified."
31,Write the project instructions,"Read 01-planning/BRIEF.md, 01-planning/SPEC.md if present, and README.md. Create or update CLAUDE.md with the project purpose, file locations, start command, checks, and what requires human review. Keep it short and remove anything that merely repeats another file.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
33,Turn a design preference into a rule,"Create a rule in .claude/rules/interface.md for the interface files. Require visible sources beside meeting facts, distinct loading and error states, one clear primary action, and a phone-width review after changes. Show me the file and explain its scope.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
35,Review design guidance before using it,"Read the supplied .claude/rules/interface.md without changing files. Explain its scope and observable checks. If reviewing an external design skill later, record its exact source revision and inspect scripts before using its guidance.",fresh-session review passed,Project rule inspected and Plan mode used for read-only cold-start verification.
36,Enter Plan mode before changing files,"Help me switch this Claude Code session to Plan mode. Confirm it is active. Read the brief and design files, ask about missing decisions, and propose the build sequence before editing the app.",fresh-session review passed,Project rule inspected and Plan mode used for read-only cold-start verification.
37,The planning conversation,"We are building ClientDesk for a solo consultant. Read 01-planning/BRIEF.md and the sample records. Identify decisions that would block a useful first version. Ask me those questions before proposing the plan. Then outline the scope, screens, data, acceptance checks, and milestones. Do not build yet.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
38,Answer the decisions that block the plan,"For the first milestone, use fictional records and one local user. The task must show its supporting meeting, owner, and proposed due date before saving. Importing the same meeting twice must keep one copy. Defer hosting until this loop passes. Keep named sign-in outside this release. Update the proposed plan.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
39,Why the planning prompt works,"Review the proposed plan against 01-planning/BRIEF.md. Identify any unstated assumption, extra feature, or requirement that cannot be checked. For each issue, propose the smallest clarification. Do not start implementation.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
41,Approve and save the specification,"I approve the reviewed plan. Save it to 01-planning/SPEC.md with the first-release scope, source fields, screens, failure behavior, acceptance checks, and milestones. Put the milestone checklist in 01-planning/MILESTONES.md. Do not build yet.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
44,The checkpoint before implementation,"Read the first milestone and explain it back to me as a user journey. Name the files you expect to change, the checks you will run, and where you will stop. Flag anything that is still ambiguous. Do not edit yet.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
51,The project’s .gitignore file,"Set up the project’s ignore file so secrets, machine-specific settings, logs, and generated local data stay out of Git. Keep an empty example of the required environment variables. Show me what will be excluded.",adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
52,The first local checkpoint,"Save a local checkpoint of the agreed plan. Check whether this folder already uses Git. Show me the files you will include, exclude secrets and local data, then commit the reviewed files with a clear message.",adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
53,What a checkpoint gives us,Show the latest local checkpoint and summarize its included files. Explain how I could compare the current work with that checkpoint without discarding any changes.,adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
55,"A GitHub connection, in plain English","Help me connect this project to GitHub. Check what’s already installed, set up anything missing, guide me through signing in, and verify the connection. Explain any steps I need to complete myself.",existing repository operation; no new demo remote,Existing public/private course repositories verified and synchronized by operator. New independent demo has local checkpoints only; new-repository signup/creation not rehearsed.
56,A private GitHub repository,"Create a private GitHub repository for this project using the account I have signed in to. First show me the account, repository name, and files to upload. Check for an existing remote. After I confirm those details, upload the reviewed checkpoint.",existing repository operation; no new demo remote,Existing public/private course repositories verified and synchronized by operator. New independent demo has local checkpoints only; new-repository signup/creation not rehearsed.
57,Verify the repository before moving on,"Show the repository URL, visibility, account owner, and latest uploaded checkpoint. Compare the uploaded files with the reviewed list. If anything is missing or unexpected, explain it before changing the repository.",existing repository operation; no new demo remote,Existing public/private course repositories verified and synchronized by operator. New independent demo has local checkpoints only; new-repository signup/creation not rehearsed.
58,Give the build a visual direction,"Read 02-design/DESIGN.md and its assets. Use deep navy, quiet surfaces, Manrope headings and DM Sans body text. Make meeting evidence and the next action easy to find. Show the desktop and phone layout plan before implementation.",adapted/grouped; passed,"Claude read supplied references, wrote and reviewed own plan/design/instructions before implementation."
59,Create the app’s starting structure,"In this rebuild, create 03-build/clientdesk using Next.js, TypeScript and Node 24. Add the documented dependencies and scripts. Create the page, server routes and sample storage structure from SPEC.md. Start it on port 4310 and show a working page.",adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
60,The first implementation request,"Read 01-planning/SPEC.md and 01-planning/MILESTONES.md. Build the first client workflow in 03-build/clientdesk with fictional records: meeting evidence, an editable follow-up, review, and save. Run the agreed checks and show the result in the browser. Stop before adding live services.",adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
61,Read the build result like a reviewer,"Compare the changed files and check results with the first milestone. Open the actual app and explain what passes, what is incomplete, and where you stopped.",adapted/grouped; passed,"Own Git root, exclusions, approved plan checkpoint and first saved-task loop built through Claude. Prepared milestone archives retained."
62,Complete the CRM around the first loop,"Now add the remaining SPEC.md screens: client list and details, meetings, upcoming calls, follow-ups, Connections and brief export. Include client creation, task review, completion and reload behavior. Work in milestones and show the test result for each.",adapted/grouped; local checks passed,"CRM and fictional imports implemented. Duplicate/invalid import, source/date boundaries and two-session SQLite isolation checked. No live provider import or new hosted RLS proof."
65,Inspect the source connection,"Open Connections and inspect the supplied sample meeting. Explain how its source ID, client and summary reach the app. Use the fictional record for this demonstration.",adapted/grouped; local checks passed,"CRM and fictional imports implemented. Duplicate/invalid import, source/date boundaries and two-session SQLite isolation checked. No live provider import or new hosted RLS proof."
68,Import the meeting and prove it,Use the fictional Northstar meeting in 01-planning/sample-data/meeting.json. Import it into this browser’s practice workspace. Compare the source ID with the client page. Import it again and confirm the meeting count stays the same.,adapted/grouped; local checks passed,"CRM and fictional imports implemented. Duplicate/invalid import, source/date boundaries and two-session SQLite isolation checked. No live provider import or new hosted RLS proof."
70,The upcoming-call check,"Import the fictional event in 01-planning/sample-data/event.json for Northstar. Compare its source ID, timezone and status with the upcoming-call card. Explain why a scheduled call does not create an agreed task deadline.",adapted/grouped; local checks passed,"CRM and fictional imports implemented. Duplicate/invalid import, source/date boundaries and two-session SQLite isolation checked. No live provider import or new hosted RLS proof."
73,Create your Supabase project,Help me create a dedicated Supabase project for this fictional CRM. Apply both SQL migration files from the app’s supabase/migrations folder in filename order. Enable anonymous sign-ins. Verify that two visitor identities cannot read or change each other’s workspace.,prerequisites reviewed; prompt corrected; new hosting not run,Fresh Claude read-only inventory confirmed missing Supabase implementation. Revised prompt requires storage/identity/migrations/access test before configuration.
74,Ask for an access check in plain English,Read the existing access tests. Run the documented check with two isolated practice identities. Show that one can access its records and the other cannot. Explain the enforced boundary and any untested deployment condition.,adapted/grouped; local checks passed,"CRM and fictional imports implemented. Duplicate/invalid import, source/date boundaries and two-session SQLite isolation checked. No live provider import or new hosted RLS proof."
77,Give Claude a CLI and an MCP interface,"Build the ClientDesk CLI and MCP server described in the spec. Reuse the app’s workspace API and identity handling. Support reading client evidence and preparing a sourced brief. Test the normal case, an unknown client and missing meeting data.",adapted build; actual fresh-session tools passed,Real CLI/MCP protocol checks passed. Fresh Claude session /mcp connected; client_evidence and prepare_brief called. Name corrected to match course.
78,Connect the project’s MCP server,"Check that the app is running. Review the project-root .mcp.json and point its ClientDesk entry at our app’s scripts/mcp.mjs. Start Claude Code from this project root, approve the trusted server, and verify ClientDesk is connected in /mcp.",adapted build; actual fresh-session tools passed,Real CLI/MCP protocol checks passed. Fresh Claude session /mcp connected; client_evidence and prepare_brief called. Name corrected to match course.
79,A useful MCP question,"Use the ClientDesk tools to find Northstar’s latest meeting. Show the source ID and explain which follow-up the meeting supports. If the evidence is missing, say so. Do not save a task.",adapted build; actual fresh-session tools passed,Real CLI/MCP protocol checks passed. Fresh Claude session /mcp connected; client_evidence and prepare_brief called. Name corrected to match course.
80,What to inspect in the MCP answer,"Compare your answer with Northstar’s source meeting. Separate the quoted fact, any missing information, and your proposed follow-up. Show the source ID for the fact and confirm that no task was saved.",adapted build; actual fresh-session tools passed,Real CLI/MCP protocol checks passed. Fresh Claude session /mcp connected; client_evidence and prepare_brief called. Name corrected to match course.
83,"A phone-sized screen, explained","Show Northstar’s page at desktop width, then at 390 pixels wide. Explain the difference in plain English. Keep the meeting and Review control visible so we can see whether the same job still works on a small screen.",adapted; rendered browser checks passed,Claude built/fixed UI; independent desktop and 390px journeys verified. Shared-output 404 and mobile controls repaired.
85,Claude in Chrome,"Help me connect this Claude Code session to Chrome. Check the current requirements and explain the setup steps I need to complete. Once connected, show the open ClientDesk page so I can confirm you have the right tab.",not run in Claude in Chrome,Claude Desktop embedded browser and independent CUA browser used. Chrome extension setup not rehearsed.
86,Confirm Claude can see the right page,"Use the browser connection to describe the open ClientDesk page. Name the client, the latest meeting, and the primary action you can see. Do not click or change anything yet.",adapted; rendered browser checks passed,Claude built/fixed UI; independent desktop and 390px journeys verified. Shared-output 404 and mobile controls repaired.
87,The browser review request,"Open Northstar in the running ClientDesk app. Set the browser’s content area to 390 pixels wide, roughly a phone screen. Find the latest meeting and reach Review using the keyboard. Record what happens. If a control is clipped, explain the cause, fix it and repeat the same journey. Otherwise, document the passing result.",adapted; rendered browser checks passed,Claude built/fixed UI; independent desktop and 390px journeys verified. Shared-output 404 and mobile controls repaired.
88,A defect report you can act on,"At 390 pixels wide, inspect the Northstar page and reach Review with the keyboard. If an action is blocked, capture it, explain the cause, fix it and repeat the same path. If it works, record the passing evidence instead of inventing a defect.",adapted; rendered browser checks passed,Claude built/fixed UI; independent desktop and 390px journeys verified. Shared-output 404 and mobile controls repaired.
92,Computer use setup,"Help me enable computer use in this Claude Code session. Check whether my device and account support it. Explain the permissions I need to grant, then wait while I enable access to the document viewer.",existing computer-use setup,Operator used already-enabled native computer use. New setup permissions not rehearsed.
93,The native document review prompt,"Open the exported Northstar brief in the approved document viewer. Check that every section is readable, sources stay beside facts, and proposed actions are clearly labeled. Capture any clipped text and identify its section. Do not send or upload the document.",adapted; operator native review passed,Exported source-backed Markdown brief inspected in TextEdit; not an actual Claude computer-use tool execution.
94,"Export the brief, then inspect it","Open the exported client brief in the native viewer.
Check that the client, source, owner, and due date
are readable. Screenshot any clipping.
Do not share, email, or upload the file.",adapted; operator native review passed,Exported source-backed Markdown brief inspected in TextEdit; not an actual Claude computer-use tool execution.
99,Connect the app to Vercel,Help me import my reviewed GitHub repository into Vercel. Set the root directory to 03-build/clientdesk and Node to 24. Add my SUPABASE_URL and SUPABASE_ANON_KEY in server settings for the deployment environment. Show the destination and build settings before deploying.,existing hosted reference checked; no new deployment,Today: hosted Supabase workspace and real answers checked. Independent local rebuild not deployed to Vercel.
100,Run the checks before deployment,"Run npm test, npm run typecheck and npm run build in the app folder. With the local app running, run npm run test:http. Explain failures, fix their cause, and repeat the affected checks before deploying.",adapted; independent commands and browser passed,"22 unit, typecheck, build, 41 HTTP, 24 tools passed. Separate build outputs fixed real 404; saved record read back after reload."
101,A hosted preview of the CRM,"Prepare a hosted preview of the reviewed CRM. Run the checks, inspect the changed files, and show me the hosting project and visibility settings. After I approve that destination, deploy the preview and record its URL and code version.",existing hosted reference checked; no new deployment,Today: hosted Supabase workspace and real answers checked. Independent local rebuild not deployed to Vercel.
102,Check the hosted result,Open the new preview URL and repeat the agreed client journey with fictional data. Confirm the intended access settings and code version. Report failed or untested checks separately. Do not treat a successful deployment message as proof that the app works.,existing hosted reference checked; no new deployment,Today: hosted Supabase workspace and real answers checked. Independent local rebuild not deployed to Vercel.
103,Ask Claude about the client,What did Maya request? Cite the meeting source ID. What did the meeting leave undecided? Keep it to three short bullets.,adapted/grouped; real local execution passed,"Headless real Claude examples and local chat built/tested. Real sourced responses, Stop/Retry, client switch, mobile and reload observed."
105,The small command behind the chat,"Ask for one small result:

“Explain a CRM in one sentence.”

Run the command in your terminal. Claude prints the answer and returns control to you.",adapted/grouped; real local execution passed,"Headless real Claude examples and local chat built/tested. Real sourced responses, Stop/Retry, client switch, mobile and reload observed."
106,Give the request a source file,Use only the supplied evidence. List facts and unknowns. Cite source IDs. Do not ask what to do.,adapted/grouped; real local execution passed,"Headless real Claude examples and local chat built/tested. Real sourced responses, Stop/Retry, client switch, mobile and reload observed."
108,Ask Claude to build the bridge,"First add a local Ask Claude panel for the selected client. Use the signed-in Claude Code CLI in print mode. Send only that client’s evidence and recent chat. Return a sourced answer with no tools or writes. Include Stop, errors and a timeout. Enable it only on localhost.",adapted/grouped; real local execution passed,"Headless real Claude examples and local chat built/tested. Real sourced responses, Stop/Retry, client switch, mobile and reload observed."
115,The program that handles chat,"Create the chat helper in 03-build/clientdesk-chat using the hosted chat guide. Give it only the selected client’s records and question. Let approved requests reach Claude and return a checked answer. Prevent it from changing files or saving tasks. Add a Stop button, a time limit and usage limits.",prerequisites reviewed; corrected; no new worker deployment,Independent rebuild lacks hosted worker/adapter. Prompt now explicitly requests worker/Docker/login/tests/app route/access UI. Existing hosted service separately checked; login/redeploy not repeated.
116,A home for the chat helper on Railway,Help me run 03-build/clientdesk-chat on Railway using the hosted chat guide. Keep its Claude login and usage counts in a saved folder that survives updates. Give the helper a web address. Create separate private values for the app to connect and for learners to access chat.,prerequisites reviewed; corrected; no new worker deployment,Independent rebuild lacks hosted worker/adapter. Prompt now explicitly requests worker/Docker/login/tests/app route/access UI. Existing hosted service separately checked; login/redeploy not repeated.
117,Claude needs a login on its new computer,"Help me sign in to the intended Claude account on Railway using the supplied login helper. Keep the login in the saved /data folder. Ask a sample question and check the answer. Deploy the helper again, then repeat the question to confirm it still works.",prerequisites reviewed; corrected; no new worker deployment,Independent rebuild lacks hosted worker/adapter. Prompt now explicitly requests worker/Docker/login/tests/app route/access UI. Existing hosted service separately checked; login/redeploy not repeated.
